case_id,horizon_steps,horizon_hours,startup_cost_g_per_start,soft_soc_penalty_g_per_kwh,min_up_time_steps,soft_band_terminal_reserve_enabled,rolling_fuel_kg,fuel_delta_vs_full_pct,fuel_delta_vs_full_kg,full_fuel_kg,rolling_starts,full_starts,starts_delta_vs_full,minimum_soc_pct,maximum_soc_pct,final_soc_pct,full_final_soc_pct,final_soc_delta_pct_points,realized_low_soc_slack_kwh,realized_high_soc_slack_kwh,realized_low_soc_slack_max_kwh,realized_high_soc_slack_max_kwh,local_low_soc_slack_kwh,local_high_soc_slack_kwh,local_low_soc_slack_max_kwh,local_high_soc_slack_max_kwh,run_count,run_lengths_steps,shorter_than_min_up_runs,minimum_length_runs,median_solve_s,p95_solve_s,max_solve_s,nonoptimal_timeout_infeasible_local_solve_count,tail_padded_solves,wall_clock_s,config_path,run_dir
h8_startup250_softsoc5000_minup6,8,2.0,250.0,5000.0,6,False,706.8034080658043,5.330009390732608,35.766338806801706,671.0370692590026,8,5,3,20.102789403695407,60.0,33.33138612822387,20.0,13.331386128223869,0.0,0.0,0.0,0.0,428.43501640227095,0.0,31.669736842096352,0.0,8,17 6 8 6 6 6 6 19,0,5,0.03928685188293457,0.3971785068511962,0.7759101390838623,0,0,92.86744069999258,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h8_startup250_softsoc5000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_101648_rolling_horizon_h8_startup250_softsoc5000_minup6
h8_startup250_softsoc10000_minup6,8,2.0,250.0,10000.0,6,False,711.2341522032617,5.990292457113744,40.197082944259165,671.0370692590026,8,5,3,20.000390537525963,60.0,35.75691804311229,20.0,15.756918043112293,0.0,0.0,0.0,0.0,103.20112499000658,0.0,11.118151310177876,0.0,8,17 6 8 6 6 6 6 19,0,5,0.040679931640625,0.3461618900299063,0.9322810173034668,0,0,64.78053879999788,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h8_startup250_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_101752_rolling_horizon_h8_startup250_softsoc10000_minup6
h8_startup500_softsoc5000_minup6,8,2.0,500.0,5000.0,6,False,709.8234652939991,5.723893985861983,38.42985829261411,671.3936070013849,8,4,4,20.05932513300276,60.0,35.7569180431131,20.0,15.756918043113103,0.0,0.0,0.0,0.0,461.8171118086928,0.0,31.669736842104893,0.0,8,17 6 8 6 6 6 6 19,0,5,0.04018902778625488,0.2853325843811034,1.019773244857788,0,0,63.51480020000599,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h8_startup500_softsoc5000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_101856_rolling_horizon_h8_startup500_softsoc5000_minup6
h8_startup500_softsoc10000_minup6,8,2.0,500.0,10000.0,6,False,711.2131905415545,5.9308851208777424,39.819583540169525,671.3936070013849,8,4,4,20.60078387458001,60.0,35.756918043049126,20.0,15.756918043049126,0.0,0.0,0.0,0.0,145.0933782736787,0.0,11.069200657670205,0.0,8,17 6 8 6 6 6 6 19,0,5,0.03943920135498047,0.25084176063537583,0.49773192405700684,0,0,60.7073609999934,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h8_startup500_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_101957_rolling_horizon_h8_startup500_softsoc10000_minup6
h8_startup1000_softsoc5000_minup6,8,2.0,1000.0,5000.0,6,False,706.0438716084109,5.160946462058644,34.65026460702589,671.3936070013849,8,4,4,20.108942119285107,60.0,33.33138612821948,20.0,13.331386128219478,0.0,0.0,0.0,0.0,474.88895881808054,0.0,36.605263147095755,0.0,8,17 6 8 6 6 6 6 18,0,5,0.03885984420776367,0.28348526954650866,0.5561971664428711,0,0,62.99390560000029,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h8_startup1000_softsoc5000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102100_rolling_horizon_h8_startup1000_softsoc5000_minup6
h8_startup1000_softsoc10000_minup6,8,2.0,1000.0,10000.0,6,False,706.021070124821,5.157550319564579,34.62746312343609,671.3936070013849,8,4,4,20.0,60.0,33.331386128219336,20.0,13.331386128219336,0.0,0.0,0.0,0.0,115.56344730853465,0.0,10.95785524747629,0.0,8,17 6 8 6 6 6 6 18,0,5,0.03984212875366211,0.25388069152832005,0.43769288063049316,0,0,60.28834110000753,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h8_startup1000_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102200_rolling_horizon_h8_startup1000_softsoc10000_minup6
h12_startup250_softsoc5000_minup6,12,3.0,250.0,5000.0,6,False,685.5400243282467,2.1612747989107564,14.502955069244141,671.0370692590026,8,5,3,20.076211506154053,60.0,24.25202057670442,20.0,4.252020576704421,0.0,0.0,0.0,0.0,1023.1878746213067,0.0,65.68539473684464,0.0,8,15 6 9 6 7 7 6 17,0,3,0.05888986587524414,0.9079363822937007,1.74839186668396,0,0,105.02207800000906,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h12_startup250_softsoc5000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102346_rolling_horizon_h12_startup250_softsoc5000_minup6
h12_startup250_softsoc10000_minup6,12,3.0,250.0,10000.0,6,False,698.0467248022459,4.025061621866715,27.00965554324328,671.0370692590026,8,5,3,20.87739659153814,60.0,29.829384098546992,20.0,9.829384098546992,0.0,0.0,0.0,0.0,198.23972037006453,0.0,17.94078947368418,0.0,8,15 6 8 6 8 6 6 16,0,4,0.059873104095458984,1.0161325454711914,2.0761537551879883,0,0,104.5657210000063,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h12_startup250_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102530_rolling_horizon_h12_startup250_softsoc10000_minup6
h12_startup500_softsoc5000_minup6,12,3.0,500.0,5000.0,6,False,680.305984549908,1.3274445058135071,8.912377548523015,671.3936070013849,7,4,3,20.21791223406733,60.0,21.41207516799796,20.0,1.4120751679979584,0.0,0.0,0.0,0.0,554.5174405885185,0.0,64.45549341988652,0.0,7,17 6 10 8 7 6 16,0,2,0.05881810188293457,0.875145006179809,2.0589208602905273,0,0,101.3089428999956,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h12_startup500_softsoc5000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102711_rolling_horizon_h12_startup500_softsoc5000_minup6
h12_startup500_softsoc10000_minup6,12,3.0,500.0,10000.0,6,False,700.96839777424,4.404985460755816,29.57479077285505,671.3936070013849,6,4,2,20.290103583437702,60.0,33.52591615341537,20.0,13.525916153415373,0.0,0.0,0.0,0.0,241.49881569565122,0.0,16.693039473467984,0.0,6,17 13 10 6 6 19,0,2,0.05761599540710449,0.8328494548797605,1.4358668327331543,0,0,98.29545489999873,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h12_startup500_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_102849_rolling_horizon_h12_startup500_softsoc10000_minup6
h12_startup1000_softsoc5000_minup6,12,3.0,1000.0,5000.0,6,False,718.3508666426217,6.993998624884118,46.95725964123674,671.3936070013849,6,4,2,20.557110862284826,60.0,42.1321143617116,20.0,22.1321143617116,0.0,0.0,0.0,0.0,524.547835346986,0.0,67.95111838930781,0.0,6,17 16 8 7 6 18,0,1,0.05882525444030762,0.6571392059326171,1.7054028511047363,0,0,92.32185199999367,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h12_startup1000_softsoc5000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_103022_rolling_horizon_h12_startup1000_softsoc5000_minup6
h12_startup1000_softsoc10000_minup6,12,3.0,1000.0,10000.0,6,False,713.4833876582128,6.26901719317995,42.08978065682785,671.3936070013849,7,4,3,22.098030515117546,60.0,38.71567784154536,20.0,18.715677841545357,0.0,0.0,0.0,0.0,264.6743091241456,0.0,20.453960495111097,0.0,7,17 13 6 6 6 6 18,0,4,0.05706501007080078,0.8371629714965818,1.4703850746154785,0,0,121.22383029999037,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h12_startup1000_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_103223_rolling_horizon_h12_startup1000_softsoc10000_minup6
h16_startup250_softsoc5000_minup6,16,4.0,250.0,5000.0,6,False,728.2566782202257,8.527041438173947,57.21960896122316,671.0370692590026,8,5,3,20.49074048152272,60.0,47.29721864501984,20.0,27.29721864501984,0.0,0.0,0.0,0.0,1639.203446403518,0.0,113.71453946009055,0.0,8,16 6 8 6 6 8 6 20,0,4,0.0950770378112793,1.856625652313232,3.100033760070801,0,0,176.08609939999587,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h16_startup250_softsoc5000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_103520_rolling_horizon_h16_startup250_softsoc5000_minup6
h16_startup250_softsoc10000_minup6,16,4.0,250.0,10000.0,6,False,690.9900980141167,2.973461477641981,19.953028755114183,671.0370692590026,8,5,3,20.089445688699126,60.0,27.235533139692325,20.0,7.2355331396923255,0.0,0.0,0.0,0.0,520.9120853383845,0.0,30.256578947047558,0.0,8,16 6 8 6 6 9 6 16,0,4,0.0885009765625,1.7018338680267329,3.359812021255493,0,0,160.3145527000015,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h16_startup250_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_103759_rolling_horizon_h16_startup250_softsoc10000_minup6
h16_startup500_softsoc5000_minup6,16,4.0,500.0,5000.0,6,False,701.2435576944921,4.44596885967154,29.849950693107093,671.3936070013849,6,4,2,21.41389977607501,60.0,34.22188024915969,20.0,14.221880249159689,0.0,0.0,0.0,0.0,873.0590293579339,-1.3201184406620492e-13,101.07315789247232,0.0,6,19 13 11 7 6 18,0,1,0.0947411060333252,1.6738646030426008,3.176804780960083,0,0,140.9288932999916,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h16_startup500_softsoc5000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_104021_rolling_horizon_h16_startup500_softsoc5000_minup6
h16_startup500_softsoc10000_minup6,16,4.0,500.0,10000.0,6,False,688.4362885457219,2.5384039059373706,17.042681544336958,671.3936070013849,5,4,1,20.089623460257766,64.94519141937202,27.438710106391483,20.0,7.438710106391483,0.0,0.0,0.0,0.0,354.0312926137169,0.0,28.48576973521145,0.0,5,18 13 14 6 19,0,1,0.09243202209472656,1.3048638343811032,2.599247932434082,0,0,127.96316929999739,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h16_startup500_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_104229_rolling_horizon_h16_startup500_softsoc10000_minup6
h16_startup1000_softsoc5000_minup6,16,4.0,1000.0,5000.0,6,False,727.525630870846,8.360524033012629,56.13202386946115,671.3936070013849,6,4,2,20.193760323371777,60.0,47.82302579087347,20.0,27.823025790873473,0.0,0.0,0.0,0.0,919.6599516722406,0.0,121.30057067119,0.0,6,19 12 14 6 6 19,0,2,0.08016705513000488,1.3131347656249996,2.898268222808838,0,0,120.31313890000456,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h16_startup1000_softsoc5000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_104430_rolling_horizon_h16_startup1000_softsoc5000_minup6
h16_startup1000_softsoc10000_minup6,16,4.0,1000.0,10000.0,6,False,713.144370824842,6.218522694895267,41.75076382345706,671.3936070013849,5,4,1,20.167693169101284,61.902995520716665,40.145945898656194,20.0,20.145945898656194,0.0,0.0,0.0,0.0,366.1361412597239,0.0,36.48380260225157,0.0,5,19 12 14 6 22,0,1,0.09218716621398926,0.9951783180236815,2.521245002746582,0,0,118.20029569999315,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\min_up_confirmatory_baseline_sweep\generated_configs\h16_startup1000_softsoc10000_minup6.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-29_104628_rolling_horizon_h16_startup1000_softsoc10000_minup6
