load_bin,n,gens,load_pct_median,power_kw_median,fuel_gph_median,sfoc_gkwh_median,supported,regime,regime_label
"[40, 50)",362,2,49.5,190.575,40030.2,211.3327578482847,True,ge1600,~1800 rpm
"[50, 60)",579,2,51.68,198.96800000000002,42042.0,210.8411214953271,True,ge1600,~1800 rpm
"[60, 70)",115,2,64.5,248.32500000000002,53029.200000000004,213.90374331550805,True,ge1600,~1800 rpm
"[70, 80)",160,2,75.5,290.675,63478.799999999996,218.49647185393792,True,ge1600,~1800 rpm
"[10, 20)",3,1,19.7,75.845,13381.199999999999,176.42824180895246,False,lt1600,~1400 rpm
"[20, 30)",16,2,22.66,87.241,15304.8,176.98146770808276,False,lt1600,~1400 rpm
"[30, 40)",2,1,37.155,143.04675,25653.6,179.33368148002293,False,lt1600,~1400 rpm
"[40, 50)",410,2,47.7,183.645,33272.4,180.80679533358423,True,lt1600,~1400 rpm
"[50, 60)",59,2,50.5,194.425,35263.2,181.53574580759047,True,lt1600,~1400 rpm
